Role,Kind,Character,Profile,CaseId,DisplayName,Category,ExecutionMode,Status,Expected,Actual,Details
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.manifest.closed_world","완전 커버리지 명세 폐쇄성","Data","DataOnly","Pass","모든 기능이 폐쇄형 검증 카탈로그에 등록됨","PASS / Skills=11, Effects=0","Skills=11
Effects=0
RequiredMechanics=OlafMadnessMechanic, OlafImmortalFuryMechanic"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.mechanics.forced_scenarios","패시브·메커닉 강제 시나리오","Passive","IsolatedRuntime","Pass","모든 필수 패시브 메커닉의 강제 이벤트 시나리오 통과","PASS / Mechanics=3","OlafMadness: 0/5/10 판정·피해 보정 PASS
Olaf Dice: 공용 BasePlusRoll·스킬별 BasePower·공통 d8 PASS
Olaf olaf.duel.standard: 최신 승패별 혈상·광기 규칙 PASS / Bleeding=2, Madness=1
Olaf olaf.duel.rend: 최신 승패별 혈상·광기 규칙 PASS / Bleeding=1, Madness=1
Olaf 부위 파괴 광기 +2 PASS
Olaf 배수진 피해 제한·파괴/사망 차단·턴 종료 해제 PASS
올라프 웅크리기 방어도 12 PASS
올라프 노려보기 이번 턴 합 위력 +1 PASS
올라프 가오잡기 자가 부위 약화 1개·광기 +2 PASS
올라프 만개하는 상처 광기 0=혈상3, 광기10=혈상5 PASS
올라프 터뜨리는 광기 광기+2·(광기×5+혈상) 피해 PASS
올라프 배수진 Execute 활성화 PASS"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.normal.overhead_smash","스킬 완전 시나리오: 내려찍기","NormalAttack","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=2, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 5
Roll[1]=🎲 5
DamageTarget PASS: 180->179 / 올라프/HEAD"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.normal.wild_hack","스킬 완전 시나리오: 마구잡이","NormalAttack","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->3, Prestige 100->100
Roll[0]=🎲 5
Roll[1]=🎲 5
Roll[2]=🎲 1
DamageTarget PASS: 180->179 / 올라프/HEAD"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.normal.enduring_slash","스킬 완전 시나리오: 버티며 베기","NormalAttack","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->3, Prestige 100->100
Roll[0]=🎲 5
Roll[1]=🎲 5
Roll[2]=🎲 1
DamageTarget PASS: 180->179 / 올라프/HEAD"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.duel.rend","스킬 완전 시나리오: 난도질","Duel","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->1, Prestige 100->100
Roll[0]=🎲 5
Roll[1]=🎲 5
Roll[2]=🎲 1
DamageTarget PASS: 180->179 / 올라프/HEAD"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.duel.standard","스킬 완전 시나리오: 표준","Duel","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=2, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 5
Roll[1]=🎲 5
DamageTarget PASS: 180->179 / 올라프/HEAD"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.preparation.show_off","스킬 완전 시나리오: 가오잡기","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.preparation.glare","스킬 완전 시나리오: 노려보기","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.preparation.crouch","스킬 완전 시나리오: 웅크리기","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->100
Roll[0]=🎲 0"
